EMPCT;opc1;opc1desc;opc2;opc2d
1;12;Engenharia Civil (I);11;Engenharia Eletrica (I)
2;20;Pedagogia - Licenciatura (I);38;Pedagogia - Licenciatura (N)
3;20;Pedagogia - Licenciatura (I);58;Fonoaudiologia (I)
4;15;Medicina (I);;
5;21;Enfermagem (I);20;Pedagogia - Licenciatura (I)
6;17;Ciencias Economicas (I);42;Ciencia da Computacao (N)
7;58;Fonoaudiologia (I);20;Pedagogia - Licenciatura (I)
8;62;Tecnologia em Saneamento Ambiental (N);101;Engenharia de Manufatura (I)
9;10;Engenharia Mecanica (I);8;Engenharia Agricola (I)
10;9;Engenharia Quimica (I);39;Engenharia Quimica (N)
11;5;Quimica (I);50;Quimica Tecnologica (N)
12;8;Engenharia Agricola (I);;
13;6;Ciencias Biologicas (I);100;Ciencias do Esporte (I)
14;7;Letras - Licenciatura (I);86;Estudos Literarios (I)
15;26;Artes Cenicas (I);46;Ciencias Biologicas - Licenciatura (N)
16;19;Historia (I);109;Administracao (N)
17;12;Engenharia Civil (I);39;Engenharia Quimica (N)
18;87;Musica: Licenciatura (I);30;Filosofia (I)
19;30;Filosofia (I);44;Ciencias Sociais (N)
20;9;Engenharia Quimica (I);39;Engenharia Quimica (N)
21;6;Ciencias Biologicas (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
22;48;Arquitetura e Urbanismo (N);12;Engenharia Civil (I)
23;9;Engenharia Quimica (I);188;Engenharia de Telecomunicacoes (I)
24;38;Pedagogia - Licenciatura (N);44;Ciencias Sociais (N)
25;6;Ciencias Biologicas (I);62;Tecnologia em Saneamento Ambiental (N)
26;34;Engenharia de Computacao (I);11;Engenharia Eletrica (I)
27;54;Geografia (I);55;Geografia (N)
28;15;Medicina (I);14;Odontologia (I)
29;45;Educacao Fisica (N);39;Engenharia Quimica (N)
30;15;Medicina (I);5;Quimica (I)
31;7;Letras - Licenciatura (I);20;Pedagogia - Licenciatura (I)
32;15;Medicina (I);58;Fonoaudiologia (I)
33;45;Educacao Fisica (N);27;Educacao Fisica (I)
34;26;Artes Cenicas (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
35;2;Estatistica (I);13;Engenharia de Alimentos (I)
36;2;Estatistica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
37;2;Estatistica (I);109;Administracao (N)
38;2;Estatistica (I);94;Sistemas de Informacao (I)
39;2;Estatistica (I);73;Tecnologia em Saneamento Ambiental (I)
40;2;Estatistica (I);5;Quimica (I)
41;2;Estatistica (I);56;Licenciatura Integrada Quimica/Fisica (N)
42;2;Estatistica (I);58;Fonoaudiologia (I)
43;5;Quimica (I);17;Ciencias Economicas (I)
44;5;Quimica (I);9;Engenharia Quimica (I)
45;5;Quimica (I);63;Farmacia (I)
46;5;Quimica (I);50;Quimica Tecnologica (N)
47;5;Quimica (I);50;Quimica Tecnologica (N)
48;5;Quimica (I);17;Ciencias Economicas (I)
49;5;Quimica (I);37;Tecnologia em Construcao de Edificios (N)
50;5;Quimica (I);50;Quimica Tecnologica (N)
51;5;Quimica (I);39;Engenharia Quimica (N)
52;5;Quimica (I);50;Quimica Tecnologica (N)
